no. MS;No.;Pericope;Intro;Intro.Remarks;Intro.Transl;Thales;Thales ID;Intro.Fol.A;;Intro.Col.A;Intro.Line.A;Intro.Fol.Z;Intro.Col.Z;Intro.Line.Z;Taksa;Taksa.Trans;Taksa.Remarks;Transl.remarks;Taksa.Fol.A;Taksa.Col.A;Taksa.Line.A;Taksa.Fol.Z;Taksa.Col.Z;Taksa.Line.Z;Taksa.Remarks;Siglum;Siglum;Link;Link;MS-List.link;Pericope.Fol.A;Pericope.Col.A;Pericope.Line.A;Pericope.Fol.Z;Pericope.Col.Z;Pericope.Line.Z;Cross reference (corpus) [to be filled in aut.];Remarks Cross reference (corpus);Abbreviation;Version;Version.Remarks;Version.Syriac;Version.Transl;Denomination;Literature;Literature.link;Codicology;Pericope.remarks;Ref.remarks.;Cross.ref.Lect;Transl.Cross.ref.;Addition before;Addition after;Addition.Fol.A;Addition.Col.A;Addition.Line.A;Addition.Fol.Z;Addition.Col.Z;Addition.Line.Z;Ref.Bible.MS;Other Remarks;Words.Margin;no. reading Dissertation K.D. Jenner;;Structure formula 1;Structure formula 2;Structure formula 3;Structure formula 4;Structure formula 5;Title lectionary MS;fol;col;line;fol;col;Line;Remarks on title
52;052-0022;Gn#03:21-04:07.;ܘܩܪܝܢ ܡܢ ܒܪܝܬܐ;;And we read, from Genesis;;;015b;;0;17;015b;0;18;ܒܪܡܫܐ ܕܝܠܗ ܕܝܘܡܐ ܏ܒ ܒܫܒܐ ܕܫܒ ܕ܏ܒ.;In the very Evening of the 2nd Day of the Week, of the 2nd Week;;;015b;0;14;015b;0;14.;;(13/)11l5;11l05;https://www.loc.gov/resource/amedmonastery.00279387648-ms/?sp=24;https://www.loc.gov/resource/amedmonastery.00279387648-ms/?sp=24;11l05;015b;0;17;016a;0;18[ult];;;;P;;;;M; cf L 10b ‎;; part on folio 15= 11L5 (Gn>03:21-24(ܕܚܪܒܐ)) the remainder= 13/11L5 ‎;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
52;052-0073;Gn#17:01-09.;ܡܢ ܒܪܝܬܐ ܩܪ̈ܝܢܢ;;From Genesis, we read;;;049a;;0;8;049a;0;8.;ܝܘܡ܀܏ܕ܀ܒܫܒܬܐ܀܏ܗ܀ܕ܏ܨܘܡ ܒܪܡܫܐ;the 4th Day of the Week, the 5th, of the Fast, in the Evening;;;049a;0;2;049a;0;3;;(13/)11l5;11l05;https://www.loc.gov/resource/amedmonastery.00279387648-ms/?sp=57;https://www.loc.gov/resource/amedmonastery.00279387648-ms/?sp=57;11l05;049a;0;8;050a;0;20;;;;P;;;;M; cf L 27b ‎;;" fol 50= 11L5;  the remaining part= 13/11L5 ‎";;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
52;052-0044;Pr#09:12-18.;ܡܢ ܡܬܠܐ ܩܪ̈ܝܢܢ;;From Proverbs, we read;;;031b;;0;3;031b;0;3;ܝܘܡ ܀ ܕ. ܒܪܡܫܐ: ܕ܏ܫܒ ܀ܓ܀ ܕ܏ܨܘ;the 4th Day, in the Evening, of the 3rd Week, of the Fast;;;031a;0;7;031a;0;8;;(13/)11l5;11l05;https://www.loc.gov/resource/amedmonastery.00279387648-ms/?sp=40;https://www.loc.gov/resource/amedmonastery.00279387648-ms/?sp=40;11l05;031b;0;3;032a;0;5;;;;P;;;;M; cf L 17c;;"13/11L5= Pr>09:12-18(ܕܫܝܘܠ); remainder of vs 18 = 11l5 (fol 32)";;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
52;052-0031;Gn#05:01-24.;ܘܩܪ̈ܝܢ ܡܢ ܒܪܝܬܐ;;And we read, from Genesis;;;021b;;0;6;021b;0;6;ܝܘܡ ܏ܗ ܏ܒܫ ܕ܏ܫܒ ܒ ܏ܕܨܘ ܒܪܡܫܐ;the 5th Day of the Week, of the 2nd Week, of the Fast, in the Evening;;;021b;0;3;021b;0;4;;(13/)11l5;11l05;https://www.loc.gov/resource/amedmonastery.00279387648-ms/?sp=30;https://www.loc.gov/resource/amedmonastery.00279387648-ms/?sp=30;11l05;021b;0;6;022b;0;2;;;;P;;;;M; cf L 13b ‎;; fol 21b= 11L5(Gn>04:14(ܬܫ̈ܥ)) + the remainder= 13/11L5 ‎;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
52;052-0015;Is#02:11b(‎‏ܘܢܥܫܢ‏‎)-19.;ܡܢ ܢܒܝܘܬܐ ܕܐܫܥܝܐ ܩܪܝܢܢ;;From the Prophecy of Isaiah, we read;;;010b;;0;6;010b;0;7;܀ܝܘܡ܀ ܏ܗ : ܒܫܒܬܐ :. ܏ܐ : ܕܨܘܡܐ : ܒܨܦܪ܀;the 5th Day, in the 1st Week of the Fast, in the Morning;;;010a;0;16;010a;0;16.;;(13/)11l5;11l05;https://www.loc.gov/resource/amedmonastery.00279387648-ms/?sp=19;https://www.loc.gov/resource/amedmonastery.00279387648-ms/?sp=19;11l05;010b;0;6;011a;0;10;;;;P;;;;M; cf L 8a ‎;; 11L5= fol 11 (02:13b-19.)) whereas 13/11L5 = the remainder(Is>02:11b-19.);;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
52;052-0034;Gn#05:32-06:08.;ܡܢ ܒܪܝܬܐ ܩܪ̈ܝܢܢ;;From Genesis, we read;;;025a;;0;8;025a;0;8;ܝܘܡ ܥ܏ܪܘܦ(!)܀ܕ܏ܫܒ܀ ܏ܒ܀ ܒܪܡܫܐ;the Day of the Eve of Preparation, of the 2nd Week, in the Evening;;;025a;0;3;025a;0;4;;(13/)11l5;11l05;https://www.loc.gov/resource/amedmonastery.00279387648-ms/?sp=33;https://www.loc.gov/resource/amedmonastery.00279387648-ms/?sp=33;11l05;025a;0;8;026a;0;3;;;;P;;;;M; cf L 14b ‎;;" fol 26a = 11L5(Gn>06:7(ܠܒܥܝܪܐ)-8.);  preceding part= 13/11L5 ‎";;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
59;059-0143;Jl#02:15-03:05a.;ܢܒܝܘܬܗ ܕܐܫܥܝܐ(!);;The Prophecy of Isaiah;;;120a;;0;22;120a;0;22;‎‏ܕܚܕܒܫܒܐ ܕܬܪܝܢ ܕܫܠܝ̈ܚܐ‏‎;of the First (Day) of the Week, the Second, of the Apostles;;;120a;0;20;120a;0;21;;(13”/)13l6;13l06;https://digi.vatlib.it/view/MSS_Vat.sir.24/0243;https://digi.vatlib.it/view/MSS_Vat.sir.24/0243;13l06;120a;0;22;121a;0;14.;;;;P;;;;N;;; 121a= by a different 13th century hand ‎;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
54;054-0044;Is#41:08-16.;ܢܒܝܘܬܗ ܕܐܫܥܝܐ;;The Prophecy of Isaiah;;;037b;;0;4;037b;0;4.;ܕܕܘܟܪܢܐ ܕܚܕ ܦܪܨܘܦܐ܀;of the Commemoration of a Person;;;037b;0;3;037b;0;4;;(18/)13l1;13l01;;;13l01;037b;0;4;038a;0;6;;;;P;;;;N;;; 18/13L1= fol 38 ‎;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
54;054-0045;Acts#18:19(‎‏ܘܥܠ‏‎)-19:20.;ܦܪܟܣܣ ܕܫܠܝ̈ܚܐ;;Acts of the Apostles;;;038a;;0;6;038a;0;6.;ܕܕܘܟܪܢܐ ܕܚܕ ܦܪܨܘܦܐ܀;of the Commemoration of a Person;;;037b;0;3;037b;0;4;;(18/)13l1;13l01;;;13l01;038a;0;6;039b;0;24.[ult];;;;P;;;;N;;; 18/13L1= fol 38 ‎;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
54;054-0154;Acts#13:13-23.+14:20(ܘܠܝܘܡܐ)-23.;ܦܪܟܣܣ ܕܫܠܝ̈ܚܐ;;Acts of the Apostles;;;140b;;0;20;140b;0;20;ܕܚܕܒܫܒܐ ܕܫܒܥܐ ܕܫܠܝ̈ܚܐ;of the First (Day) of the Week, the Seventh, of the Apostles;;;138b;0;2;138b;0;3.;;(18/)13l1;13l01;;;13l01;140b;0;20;141b;0;21.[ult];;;;P;;;;N;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
54;054-0131;Is#51:09-11.+52:01-03.+52:07-12.;ܢܒܝܘܬܗ ܕܐܫܥܝܐ;;The Prophecy of Isaiah;;;120a;;0;15;120a;0;16;ܕܚܕܒܫܒܐ ܕܫܬܐ ܕܒܬܪ ܩܝܡܬܐ.;of the First (Day) of the Week, the Sixth, after the Resurrection;;;120a;0;13;120a;0;15;;(18/)13l1;13l01;;;13l01;120a;0;15;121a;0;14;;;;P;;;;N;;; fol 121= 18/13L1 ‎;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
54;054-0132;Acts#10:01-16.;ܦܪܟܣܝܣ ܕܫܠܝ̈ܚܐ;;Acts of the Apostles;;;121a;;0;14;121a;0;14;ܕܚܕܒܫܒܐ ܕܫܬܐ ܕܒܬܪ ܩܝܡܬܐ.;of the First (Day) of the Week, the Sixth, after the Resurrection;;;120a;0;13;120a;0;15;;(18/)13l1;13l01;;;13l01;121a;0;14;122a;0;12;;;;P;;;;N;;; fol 121= 18/13L1 ‎;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
54;054-0110;Is#60:09-22.;ܢܒܝܘܬܗ ܕܐܫܥܝܐ;;The Prophecy of Isaiah;;;102a;;0;6;102a;0;7;ܕܬܪܝܢܒܫܒܐ ܕܫܒܬ ܫ̈ܒܐ;of the Second (Day) of the Week, of the Week of Weeks;;;102a;0;6;102a;0;6;;(18/)13l1;13l01;;;13l01;102a;0;6;103a;0;6.;;;;P;;;;N;;; fol 103a= by a 18th century hand‎;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
54;054-0111;Acts#02:14a+22(ܓܒܪ̈ܐ)-36.;ܦܪܟܣܝܣ ܕܫܠܝ̈ܚܐ;;Acts of the Apostles;;;103a;;0;7;103a;0;7;ܕܬܪܝܢܒܫܒܐ ܕܫܒܬ ܫ̈ܒܐ;of the Second (Day) of the Week, of the Week of Weeks;;;102a;0;6;102a;0;6;;(18/)13l1;13l01;;;13l01;103a;0;7;104a;0;9;;;;P;;;;N;;; fol 103a= by a 18th century hand‎;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
54;054-0036;1Sm#22:06b(‎‏ܘܫܐܘܠ‏‎)-21.;ܟܬܒܐ ܕܫܡܘܐܝܠ;;The Book of Samuel;;;029b;;0;19;029b;0;19;ܕܘܟܪܢܐ ܕܡܠܦܢ̈ܐ ܝܘ̈ܢܝܐ:;the Commemoration of the Greek Teachers;;;029b;0;18;029b;0;19;;(18/)13l1;13l01;;;13l01;029b;0;19;031a;0;3;;;;P;;;;N;see I.N.;; 18/13L1= fol 29+fol 30 <supplied part> ‎;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
54;054-0011;Gn#21:01-21.;ܒܪܝܬܐ ܣܦܪܐ ܩܕܡܝܐ ܕܐܘܪܝܬܐ;;Genesis, the First Book of the Law;;;011a;;0;15;011a;0;16;ܕܚܕܒܫܒܐ ܩܕܡܝܐ ܕܒܬܪ ܝܠܕܐ;of the First (Day) of the Week, the First, after the Birth;;;011a;0;14;011a;0;14.;;(18/)16/13l1;13l01;;;13l01;011a;0;15;012a;0;16;;;;P;;;;N;;;" fol 11= 18/13L1‎‏ ‏up to 21:15= ‎‏ܠܛܠܝܐ‏‎; 16/13L1 the remaining from 21:15=‎‏ܬܚܝܬ‏‎ ‎";;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
54;054-0034;Nm#11:23-35.;ܡܢܝܢܐ ܣܦܪܐ ܕܐܪܒܥܐ ܕܐܘܪܝܬܐ;;Numbers, the Fourth Book of the Law;;;028b;;0;8;028b;0;8.;ܕܚܕܒܫܒܐ ܕܐܪܒܥܐ ܕܒܬܪ ܕܢܚܐ;of the First (Day) of the Week, the Fourth after the Manifestation;;;028b;0;6;028b;0;7;;(18/)16/13l1;13l01;;;13l01;028b;0;8;029a;0;21;;;;P;;;;N;;; 16/13L1= fol 28 only ‎;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
54;054-0008;1Sm#01:01-18.<sic>;ܟܬܒܐ ܕܫܡܘܐܝܠ;;The Book of Samuel;;;008b;;0;9;008b;0;9;ܕܚܕܒܫܒܐ ܕܐܪܒܥܐ ܕܣܘܒܪܐ;of the First (Day) of the Week, the Fourth of the Annunciation;;;007a;0;18;007a;0;19;;(18/)16/13l1;13l01;;;13l01;008b;0;9;009b;0;11.;;;;P;;;;N;;; 16/13L1= fol 8 + 18/13L1= remaining portion ‎;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
54;054-0003;Nm#22:20-23:02a.;ܡܢܝܢܐ ܣܦܪܐ ܕܐܪܒܥܐ ܕܐܘܪܝܬܐ;;Numbers, the Fourth Book of the Law;;;002b;;0;14;002b;0;15;ܕܚܕܒܫܒܐ ܕܬܪܝܢ;of the First (Day) of the Week, the Second;;;002b;0;13;002b;0;13;;(18/)16/13l1;13l01;;;13l01;002b;0;14;004a;0;5;;;;P;;;;N;;; only fol 2b= 16/13L1 ‎;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
69;069-0038;1Sm#02:01-10.;ܡܢ ܫܡܘܐܝܠ ܢܒܝܐ;;From Samuel the Prophet;;;019b;;2;11;019b;2;11.;‎‏ܒܕܘܟܪܢܗ̇ ܕܝܠܕܬ ܐܠܗܐ ܡܪܝܡ ܩܪ̈ܝܢܐ‏‎;for the Commemoration of Mary the God-Bearer, readings;;;019a;2;5;019a;2;6;;(19/)15l2;15l02;https://www.vhmml.org/readingRoom/view/132198;https://www.vhmml.org/readingRoom/view/132198;15l02;019b;2;11;020a;0;13;;;;P;;;;J;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
69;069-0040;Acts#07:31(‎‏ ܘܟܕ‏‎2nd)-39.+40)ܡܛܠ)-43.;‎‏ܦܪܟܣܝܣ;;Acts;;;020a;;0;21;020a;0;21;‎‏ܒܕܘܟܪܢܗ̇ ܕܝܠܕܬ ܐܠܗܐ ܡܪܝܡ ܩܪ̈ܝܢܐ‏‎;for the Commemoration of Mary the God-Bearer, readings;;;019a;2;5;019a;2;6;;(19/)15l2;15l02;https://www.vhmml.org/readingRoom/view/132198;https://www.vhmml.org/readingRoom/view/132198;15l02;020a;0;21;020b;0;20;;;;P;;;;J;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
69;069-0265;Ex#20:21-21:06.;ܡܢ ܡܦܩܢܐ ܣܦܪܐ ܕܬܪ̈ܝܢ ܕܐܘܪܝܬܐ..;;From Exodus, the Second Book of the Law;;;151b;;2;10;151b;2;11;‎‏ܖܚܕ܏ܒܫ ܚܡܫܐ ܕܩܝܡܬܐ ܡܚܝܡܢܝܬܐ ܏ܩܪ: ‏‎;of the First (Day) in the Week, the Fifth, of the absolving Resurrection, first;;;151b;2;9;151b;2;10;;(19/)15l2;15l02;https://www.vhmml.org/readingRoom/view/132198;https://www.vhmml.org/readingRoom/view/132198;15l02;151b;2;10;152a;0;18.;;;;P;;;;J;;; 15L2= 20:21-22 and the remainder= 19/15L2 ‎;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
69;069-0267;Acts#19:23-29.;‎‏ܦܪܟܣܝܣ .. ..;;Acts;;;152b;;0;13;152b;0;13.;‎‏ܖܚܕ܏ܒܫ ܚܡܫܐ ܕܩܝܡܬܐ ܡܚܝܡܢܝܬܐ ܏ܩܪ: ‏‎;of the First (Day) in the Week, the Fifth, of the absolving Resurrection, first;;;151b;2;9;151b;2;10;;(19/)15l2;15l02;https://www.vhmml.org/readingRoom/view/132198;https://www.vhmml.org/readingRoom/view/132198;15l02;152b;0;13;153a;2;14;;;;P;;;;J;;; fol 152 in later hand 18-19th c. 1 col 21 lines ;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
69;069-0263;Acts#19:15-22.;‎‏ܦܪܟܣܝܣ.....;;Acts;;;150b;;0;19;150b;0;20;‎‏ܛܟܣܐ ܪܒܝܥܝܐ ܕܩܝܡܬܐ ܦܪܘܩܝܬܐ.. ܩܪܝܢܐ(!)‏‎;the Fourth order of the saving Resurrection, reading;;;150a;0;1;150a;0;1.;;(19/)15l2;15l02;https://www.vhmml.org/readingRoom/view/132198;https://www.vhmml.org/readingRoom/view/132198;15l02;150b;0;19;151a;2;11.;;;;P;;;;J;;; f 150 in later hand ;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
62;062-0253a;Mi#04:02b-05.+06:01-04.;ܡܢ ܏ܢܒܝܘ ܕܡܝܟܐ;;From the Prophecy of Micah;;;151b;;0;6;151b;0;6.;ܐܪܒܥܐ ܕܡܨܥܬ ܦܢܛ܏ܝܩܘ;(Day) four, of the Middle, of Pentecost;;;151b;0;6;151b;0;6;;?/13l9;13l09;https://www.loc.gov/resource/amedmonastery.00279388124-ms/?sp=154;https://www.loc.gov/resource/amedmonastery.00279388124-ms/?sp=154;13l09;151b;0;6;152a;0;4;;;;P;;;;M;;;from fol. 134 onwards an other MS (1 col. 19-22 ll.) by an unidentified hand;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
62;062-0253b;Mi#06:05(‎‏ܥܠܝܟ)+08.+05:03.;ܡܢ ܏ܢܒܝܘ ܕܡܝܟܐ;;From the Prophecy of Micah;;;151b;;0;6;151b;0;6.;ܐܪܒܥܐ ܕܡܨܥܬ ܦܢܛ܏ܝܩܘ;(Day) Four, of the Middle, of Pentecost;;;151b;0;6;151b;0;6;;?/13l9;13l09;https://www.loc.gov/resource/amedmonastery.00279388124-ms/?sp=154;https://www.loc.gov/resource/amedmonastery.00279388124-ms/?sp=154;13l09;152a;0;4;152a;0;12;;;;Not yet identified;;;;M;;;from fol. 134 onwards an other MS (1 col. 19-22 ll.) by an unidentified hand;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
62;062-0254;Is#55:01ff;܏ܐܚܪ ܡܢ ܏ܢܒܝܘ ܕܐܫܥܝܐ;;Another, from the Prophecy of Isaiah;;;152a;;0;12;152a;0;12.;ܐܪܒܥܐ ܕܡܨܥܬ ܦܢܛ܏ܝܩܘ;(Day) Four, of the Middle, of Pentecost;;;151b;0;6;151b;0;6;;?/13l9;13l09;https://www.loc.gov/resource/amedmonastery.00279388124-ms/?sp=154;https://www.loc.gov/resource/amedmonastery.00279388124-ms/?sp=154;13l09;152a;0;12;152a;0;14;;;abbr;P;;;;M;;;from fol. 134 onwards an other MS (1 col. 19-22 ll.) by an unidentified hand;;;ܒܥܝ ܒܩܪ̈ܝܢܐ ܕܩܘܕܫ ܡܝܐ;search for, for the readings of the Consecration of the Water;;;;;;;;;;;;;;;;;;;;;;;;;;
62;062-0255;Pr#09:01ff;ܐܚܪܢܐ ܡܢ ܏ܚܟܡ;;Another, from Wisdom;;;152a;;0;14;152a;0;14.;ܐܪܒܥܐ ܕܡܨܥܬ ܦܢܛ܏ܝܩܘ;(Day) Four, of the Middle, of Pentecost;;;151b;0;6;151b;0;6;;?/13l9;13l09;https://www.loc.gov/resource/amedmonastery.00279388124-ms/?sp=154;https://www.loc.gov/resource/amedmonastery.00279388124-ms/?sp=154;13l09;152a;0;14;152a;0;15.;;;abbr;P;;;;M;;;from fol. 134 onwards an other MS (1 col. 19-22 ll.) by an unidentified hand;;;ܒܥܝ ܝܘܡ ܓ ܒܫ ܓ ܕ܏ܨܘ;search for, the 3rd Day of the Week, the 3rd, of the Fast;;;;;;;;;;;;;;;;;;;;;;;;;;
